hip_number,ra_deg,dec_deg,light_year,vmag
114341,347.3615088,-21.17248555,233.5243553,3.68
9007,28.98680207,-51.60958673,57.00297255,3.69
57399,176.5130589,47.77933701,195.9134615,3.69
2920,9.24277921,53.89693161,597.0695971,3.69
23453,75.61950025,41.07588953,787.4396135,3.69
106985,325.0222594,-16.66225343,138.8415673,3.69
47854,146.3117815,-62.50792328,1509.259259,3.69
114971,349.2895568,3.28224524,130.8186196,3.7
87933,269.4409611,29.24792527,135.1575456,3.7
15474,49.87904033,-21.7579421,258.1155978,3.7
98036,298.8281923,6.40793334,44.68814256,3.71
22797,73.5628985,2.44067149,1341.563786,3.71
38414,118.0543562,-40.57579889,344.6088795,3.71
77622,237.7037134,4.4775798,70.2737659,3.71
88771,271.8375861,9.56365345,82.74111675,3.71
28103,89.10132627,-14.16803805,49.04468181,3.71
28358,89.88145972,54.28498197,140.3962102,3.72
16537,53.23509009,-9.45830584,10.49074819,3.72
17499,56.21884811,24.1134484,370.4545455,3.72
104060,316.2327325,43.92785122,1176.895307,3.72
107089,325.368638,-77.38946215,69.03854299,3.73
112961,343.1536019,-7.57967878,391.3565426,3.73
72220,221.5624659,1.8929383,128.5996055,3.73
87585,268.3817896,56.87245216,111.4149009,3.73
16083,51.79217049,9.7327724,222.0708447,3.73
8645,27.86504416,-10.33494526,258.9356632,3.74
80170,245.480182,19.15302185,195.3265428,3.74
104887,318.6972776,38.04432043,68.20083682,3.74
87108,266.9732252,2.70745875,94.71237653,3.75
44511,136.0388356,-47.09771376,309.0047393,3.75
95853,292.4264139,51.72946747,122.4183252,3.76
30867,97.20447548,-7.03305042,690.6779661,3.76
111169,337.822399,50.28244976,102.3226616,3.76
93683,286.1705577,-21.74135451,138.7824606,3.76
27654,87.82980343,-20.87751376,112.2203098,3.76
26069,83.40631813,-62.48985585,1038.216561,3.76
26549,84.68652211,-2.60006791,1147.887324,3.77
42570,130.1565637,-46.64875492,3104.761905,3.77
20455,65.73344722,17.5425843,153.1235322,3.77
101958,309.909394,15.9120527,240.5904059,3.77
105881,321.6667821,-22.41137838,398.046398,3.77
82363,252.4462976,-59.04131648,313.1604227,3.77
109176,331.7519773,25.3450461,38.32588761,3.77
13268,42.67413655,55.89552955,1330.612245,3.77
17529,56.29851422,42.57854437,556.3139932,3.77
41312,126.4343594,-66.13652042,107.9112877,3.77
71795,220.2871682,13.72833113,180.4095185,3.78
102618,311.9188857,-9.49568988,229.4159043,3.78
48319,147.7487154,59.03910437,114.9911817,3.78
36046,111.4319837,27.79828561,125.8687259,3.78
34481,107.1867688,-70.49919435,141.6159861,3.78
53253,163.3731926,-58.85326474,96.70720854,3.78
55203,,,#DIV/0!,3.79
53229,163.3276661,34.21556641,97.60479042,3.79
14668,47.37345463,44.85788896,112.2203098,3.79
99675,303.4079278,46.74132417,1352.697095,3.8
94779,289.2754579,53.36816064,123.1117825,3.8
14879,48.01783332,-28.98910623,46.00620943,3.8
37229,114.7078387,-26.8038924,454.0389972,3.8
76276,233.7007926,10.53885916,209.7812098,3.8
116584,354.3904487,46.45917621,84.15074858,3.81
51232,156.9697711,-58.73940856,1041.533546,3.81
76952,235.6859927,26.29551419,145.0177936,3.81
21393,68.88779874,-30.56231049,208.7067862,3.81
9487,30.51166929,2.76376048,139.0191898,3.82
80883,247.7285051,1.98410056,166.0723383,3.82
45688,139.7111139,36.80289763,121.8691589,3.82
86414,264.8662185,46.00632216,495.4407295,3.82
56211,172.851202,69.33112161,334.0163934,3.82
51069,156.5229377,-16.83609584,248.0974125,3.83
68245,209.5678528,-42.10070526,465.0499287,3.83
72370,221.9655257,-79.04471242,411.0970996,3.83
43783,133.7619236,-60.64471195,311.9617225,3.84
97433,297.0425566,70.26783533,145.5357143,3.84
17440,56.04814541,-64.80709398,99.6637114,3.84
51624,158.2028131,9.30659431,5719.298246,3.84
89341,273.4408696,-21.05883031,29636.36364,3.84
51986,159.3260698,-48.22561631,86.44921771,3.84
20885,67.14346805,15.96221721,157.7928364,3.84
17448,56.07969347,32.28827325,1475.113122,3.84
88794,271.8856282,28.76247025,347.1778488,3.84
61199,188.117129,-72.1329759,323.733863,3.84
91117,278.8018244,-8.24330819,174.1452991,3.85
27321,86.82118054,-51.06671329,62.84943127,3.85
19747,63.5003388,-42.29387294,117.0556553,3.85
61622,189.4263659,-48.54128816,131.6108195,3.85
78072,239.112476,15.66473327,36.2544484,3.85
50191,153.684474,-42.12206281,102.7742749,3.85
90139,275.9240282,21.77034249,128.3464567,3.85
30277,95.52852147,-33.43627251,237.0909091,3.85
61281,188.3710104,69.78820992,497.7099237,3.85
110395,335.4137498,-1.38735315,157.7164973,3.86
25859,82.8030645,-35.47043592,276.9753611,3.86
79664,243.8594423,-63.68564897,620.952381,3.86
87808,269.0632439,37.25052158,669.4045175,3.86
4436,14.18790699,38.49925513,136.2306728,3.86
21594,69.54529558,-14.303587,109.2493298,3.86
81065,248.3644341,-78.89695917,159.4911937,3.86
97804,298.1181826,1.00567827,1172.661871,3.87
68282,209.6698807,-44.8035314,417.4135723,3.87
43023,131.5068946,-46.0415392,1552.380952,3.87
17573,56.45663804,24.36785796,359.8233996,3.87
78104,239.2211944,-29.21401221,409.033877,3.87
71957,220.7648428,-5.6574291,60.88905491,3.87
74376,227.9840043,-48.73770212,182.2247065,3.88
765,2.35224949,-45.74698836,140.0343643,3.88
114421,347.5892831,-45.24664747,184.9120817,3.88
48455,148.1914903,26.00708498,132.9526917,3.88
8832,28.38235506,19.29409264,204.2606516,3.88
45336,138.5908053,2.31502422,128.6503552,3.89
13701,44.10668245,-8.89760976,133.1155574,3.89
98110,299.0766507,35.08349079,139.3162393,3.89
60129,184.976631,-0.66674709,249.6171516,3.89
33152,103.5331452,-24.18422296,1975.757576,3.89
55425,170.2518427,-54.49101395,321.182266,3.9
47431,144.9638916,-1.14265722,275.5705833,3.9
65936,202.7611186,-39.40727983,1253.846154,3.9
41307,126.4152955,-3.90636482,124.9520889,3.91
60823,187.0100483,-50.2306048,442.9347826,3.91
18907,60.78907003,5.98930909,129.1600634,3.91
73807,226.279607,-47.05119386,496.9512195,3.91
76333,233.881414,-14.78955365,152.194211,3.91
79992,244.9351996,46.31327084,314.3683703,3.91
104987,318.9558198,5.2480739,186.1793261,3.92
83207,255.0725258,30.92633926,162.6746507,3.92
95168,290.4182304,-17.84725155,121.6871967,3.92
21444,69.07975243,-3.352448,586.3309353,3.93
37504,115.4549835,-72.60613528,133.8259442,3.93
2072,6.55048418,-43.67990933,76.68783816,3.93
7083,22.81242306,-49.07307701,147.1783296,3.93
54463,167.1474818,-58.97504198,5927.272727,3.93
13531,43.564427,52.76248991,247.9087452,3.93
88192,270.1613147,2.93158759,1417.391304,3.93
78933,241.701802,-20.66913479,423.3766234,3.93
5348,17.0960837,-55.24583235,279.5883362,3.94
37447,115.3119861,-9.55108315,144.1839894,3.94
37677,115.9519672,-28.9548352,-8810.810811,3.94
42911,131.1712921,18.15486399,136.0033375,3.94
103413,314.2933818,41.16719384,355.5070883,3.94
9598,30.85912643,72.42123962,162.027833,3.95
31592,99.17082883,-19.25570928,64.66970839,3.95
45101,137.8198661,-62.31701587,499.2343032,3.96
95347,290.9714641,-40.61564629,169.7916667,3.96
95241,290.6595272,-44.45891013,378.1902552,3.96
19343,62.16530527,47.71259359,553.4804754,3.96
99848,303.8679927,47.7142053,1108.843537,3.96
28328,89.78662719,-42.81510761,530.9446254,3.96
44248,135.1614677,41.78344401,53.5655603,3.96
115438,350.7429228,-20.10034505,161.8669315,3.96
98495,300.1474723,-72.91018443,106.0852587,3.97
42515,130.0255689,-35.30830091,388.0952381,3.97
77634,237.7397573,-33.62710488,205.5485498,3.97
112440,341.6326766,23.56567939,394.6731235,3.97
59449,182.9131309,-52.36841559,342.0776495,3.97
110997,337.3173087,-43.49555433,295.5575703,3.97
27673,87.87246934,39.14847936,214.8978247,3.97
20535,66.00902233,-34.01698632,272.8033473,3.97
35228,109.2076284,-67.95717248,659.9190283,3.97
18614,59.74124892,35.79102701,1771.73913,3.98
106481,323.4953036,45.59206564,124.4274809,3.98
114996,349.3575502,-58.23592762,71.8061674,3.99
9347,30.0009367,-21.07777193,300.7380074,3.99
65477,201.3058983,54.98799884,81.11470515,3.99
29651,93.71390194,-6.27472737,644.2687747,3.99
50954,156.0989187,-74.03154474,52.86200746,3.99
79374,242.9989188,-19.46064684,436.4123159,4
44382,135.6116618,-66.39584369,124.2378049,4
55642,170.9807033,10.52969772,79.01114881,4
101076,307.348879,30.36855661,758.1395349,4.01
34088,106.0272308,20.57029939,1168.458781,4.01
91792,280.758891,-71.42772867,209.6463023,4.01
80000,244.9606983,-50.15537923,127.4433151,4.01
78527,240.4737656,58.56443739,68.21510776,4.01
71865,220.4900532,-37.79342394,304.9579046,4.01
22109,71.37558764,-3.25462465,531.8107667,4.01
35037,108.7027568,-26.77268601,923.5127479,4.01
8068,25.9150637,50.6887655,716.4835165,4.01
43409,132.6333805,-27.71005869,208.5732566,4.02
93244,284.9057884,15.06847757,153.6286522,4.02
93429,285.4201724,-5.73901832,148.5193622,4.02
59199,182.1031361,-24.72877993,48.14650716,4.02
23522,75.854572,60.44228144,996.941896,4.03
101421,308.3031866,11.30333217,358.6358636,4.03
63003,193.6485734,-57.17789116,377.3148148,4.03
88601,271.3633868,2.50243928,16.58020547,4.03
118268,359.8275099,6.86359373,105.9129305,4.03
43103,131.6743096,28.76000509,297.9890311,4.03
10670,34.32848216,33.84732099,117.562207,4.03
111497,338.8388705,-0.11736123,183.4552617,4.04
70497,216.3000806,51.85171354,47.50109282,4.04
57380,176.4648773,6.52981394,312.8598848,4.04
19587,62.96638834,-6.8377787,125.4811393,4.04
40702,124.6302785,-76.91998251,63.42412451,4.05
55434,170.2843673,6.02935289,213.9107612,4.05
71536,219.4718797,-49.42575765,310.1807802,4.05
67459,207.3695744,15.79780583,245.297216,4.05
